seed,policy,case_id,failure,action,cost,p_authentic,p_matched,p_safe,max_atom,sophisticated
1000,engagement_baseline,INF-001,signed_sophisticated_fake,SIGN,20.0,0.968,0.007,0.999,0.961,True
1000,engagement_baseline,INF-007,signed_mismatch,SIGN,15.0,0.998,0.0,0.988,0.985,False
1000,engagement_baseline,INF-009,signed_mismatch,SIGN,15.0,0.997,0.0,0.999,0.995,False
1000,engagement_baseline,INF-011,signed_sophisticated_fake,SIGN,20.0,0.997,0.0,1.0,0.997,True
1000,engagement_baseline,INF-014,signed_safety_risk,SIGN,200.0,1.0,0.968,0.336,0.643,False
1000,engagement_baseline,INF-017,signed_mismatch,SIGN,15.0,1.0,0.01,1.0,0.99,False
1000,engagement_baseline,INF-021,signed_crude_fake,SIGN,20.0,0.0,0.999,1.0,0.999,False
1000,engagement_baseline,INF-022,signed_crude_fake,SIGN,20.0,0.001,1.0,0.999,0.999,False
1000,engagement_baseline,INF-023,signed_crude_fake,SIGN,20.0,0.0,1.0,1.0,1.0,False
1000,engagement_baseline,INF-024,signed_mismatch,SIGN,15.0,0.999,0.0,0.995,0.994,False
1000,engagement_baseline,INF-025,signed_mismatch,SIGN,15.0,1.0,0.004,1.0,0.995,False
1000,engagement_baseline,INF-026,signed_sophisticated_fake,SIGN,20.0,0.962,0.0,0.995,0.958,True
1000,engagement_baseline,INF-030,signed_crude_fake,SIGN,20.0,0.0,0.005,0.99,0.985,False
1000,engagement_baseline,INF-031,signed_mismatch,SIGN,15.0,0.993,0.002,1.0,0.992,False
1000,engagement_baseline,INF-032,signed_mismatch,SIGN,15.0,0.992,0.005,0.999,0.986,False
1000,engagement_baseline,INF-033,signed_sophisticated_fake,SIGN,20.0,0.996,0.003,0.999,0.993,True
1000,engagement_baseline,INF-038,signed_sophisticated_fake,SIGN,20.0,0.995,0.999,0.566,0.562,True
1001,engagement_baseline,INF-000,signed_mismatch,SIGN,15.0,0.998,0.017,0.999,0.979,False
1001,engagement_baseline,INF-002,signed_mismatch,SIGN,15.0,0.99,0.0,0.999,0.988,False
1001,v0_threshold,INF-003,signed_sophisticated_fake,SIGN,20.0,0.972,0.996,1.0,0.968,True
1001,v0_expected_cost,INF-003,signed_sophisticated_fake,SIGN,20.0,0.972,0.996,1.0,0.968,True
1001,v1_voi,INF-003,signed_sophisticated_fake,SIGN,20.0,0.972,0.996,1.0,0.968,True
1001,engagement_baseline,INF-003,signed_sophisticated_fake,SIGN,20.0,0.972,0.996,1.0,0.968,True
1001,engagement_baseline,INF-004,signed_sophisticated_fake,SIGN,20.0,0.988,0.036,0.921,0.876,True
1001,engagement_baseline,INF-005,declined_clean,DECLINE,10.0,0.994,0.987,0.997,0.978,False
1001,engagement_baseline,INF-006,signed_sophisticated_fake,SIGN,20.0,0.961,0.002,0.997,0.956,True
1001,engagement_baseline,INF-009,signed_mismatch,SIGN,15.0,1.0,0.02,1.0,0.98,False
1001,engagement_baseline,INF-012,declined_clean,DECLINE,10.0,0.999,0.956,0.999,0.954,False
1001,engagement_baseline,INF-014,declined_clean,DECLINE,10.0,0.996,1.0,0.999,0.995,False
1001,v0_threshold,INF-015,signed_sophisticated_fake,SIGN,20.0,0.989,1.0,1.0,0.988,True
1001,v0_expected_cost,INF-015,signed_sophisticated_fake,SIGN,20.0,0.989,1.0,1.0,0.988,True
1001,v1_voi,INF-015,signed_sophisticated_fake,SIGN,20.0,0.989,1.0,1.0,0.988,True
1001,engagement_baseline,INF-015,signed_sophisticated_fake,SIGN,20.0,0.989,1.0,1.0,0.988,True
1001,engagement_baseline,INF-016,signed_mismatch,SIGN,15.0,1.0,0.01,1.0,0.989,False
1001,engagement_baseline,INF-017,signed_mismatch,SIGN,15.0,1.0,0.002,0.907,0.905,False
1001,v0_threshold,INF-018,signed_sophisticated_fake,SIGN,20.0,0.834,1.0,1.0,0.833,True
1001,v0_expected_cost,INF-018,signed_sophisticated_fake,SIGN,20.0,0.834,1.0,1.0,0.833,True
1001,v1_voi,INF-018,signed_sophisticated_fake,SIGN,20.0,0.834,1.0,1.0,0.833,True
1001,engagement_baseline,INF-018,signed_sophisticated_fake,SIGN,20.0,0.834,1.0,1.0,0.833,True
1001,engagement_baseline,INF-022,declined_clean,DECLINE,10.0,1.0,0.99,0.98,0.969,False
1001,engagement_baseline,INF-024,signed_mismatch,SIGN,15.0,1.0,0.0,0.998,0.998,False
1001,engagement_baseline,INF-025,signed_mismatch,SIGN,15.0,0.999,0.0,1.0,0.999,False
1001,engagement_baseline,INF-028,signed_crude_fake,SIGN,20.0,0.004,0.002,0.989,0.983,False
1001,engagement_baseline,INF-029,signed_safety_risk,SIGN,200.0,0.992,0.017,0.849,0.828,False
1001,engagement_baseline,INF-030,signed_mismatch,SIGN,15.0,0.999,0.115,0.953,0.843,False
1001,engagement_baseline,INF-035,signed_safety_risk,SIGN,200.0,0.999,0.996,0.615,0.612,True
1001,engagement_baseline,INF-036,signed_mismatch,SIGN,15.0,0.996,0.005,1.0,0.991,False
1001,engagement_baseline,INF-037,signed_sophisticated_fake,SIGN,20.0,0.364,0.996,1.0,0.634,True
1001,engagement_baseline,INF-038,signed_crude_fake,SIGN,20.0,0.014,0.002,0.997,0.981,False
1001,engagement_baseline,INF-039,declined_clean,DECLINE,10.0,0.997,1.0,0.999,0.996,False
1002,engagement_baseline,INF-000,signed_mismatch,SIGN,15.0,1.0,0.001,1.0,0.999,False
1002,engagement_baseline,INF-001,signed_safety_risk,SIGN,200.0,0.993,0.994,0.096,0.892,True
1002,engagement_baseline,INF-004,declined_clean,DECLINE,10.0,1.0,0.993,1.0,0.992,False
