seed,policy,total_cost,signed,signed_unsafe,signed_inauthentic,signed_sophisticated,declined_clean,human_review_rate,gift_rate,analytics_rate
1000,v0_threshold,-123.0,15,0,0,0,0,0.1,0.0,0.175
1000,v0_expected_cost,-137.0,14,0,0,0,0,0.0,0.0,0.075
1000,v1_voi,-110.0,13,0,0,0,0,0.1,0.0,0.0
1000,engagement_baseline,335.0,32,1,9,5,0,0.0,0.0,0.0
1001,v0_threshold,-54.0,16,0,3,3,0,0.05,0.0,0.15
1001,v0_expected_cost,-56.0,15,0,3,3,0,0.0,0.0,0.1
1001,v1_voi,-49.0,15,0,3,3,0,0.05,0.0,0.025
1001,engagement_baseline,665.0,27,2,9,7,5,0.0,0.0,0.0
1002,v0_threshold,-106.0,16,0,1,1,0,0.1,0.0,0.1
1002,v0_expected_cost,-115.0,15,0,1,1,0,0.0,0.0,0.125
1002,v1_voi,-85.0,14,0,1,1,0,0.125,0.0,0.0
1002,engagement_baseline,1015.0,30,4,6,3,5,0.0,0.0,0.0
1003,v0_threshold,-146.0,17,0,0,0,0,0.075,0.0,0.225
1003,v0_expected_cost,-166.0,17,0,0,0,0,0.0,0.0,0.1
1003,v1_voi,-160.0,17,0,0,0,0,0.05,0.0,0.0
1003,engagement_baseline,735.0,29,3,6,3,4,0.0,0.0,0.0
1004,v0_threshold,-168.0,18,0,0,0,0,0.025,0.0,0.175
1004,v0_expected_cost,-177.0,18,0,0,0,0,0.0,0.0,0.075
1004,v1_voi,-150.0,16,0,0,0,0,0.05,0.0,0.0
1004,engagement_baseline,75.0,29,0,4,3,2,0.0,0.0,0.0
1005,v0_threshold,-86.0,16,0,2,2,0,0.025,0.0,0.225
1005,v0_expected_cost,-77.0,14,0,2,2,0,0.0,0.0,0.075
1005,v1_voi,5.0,9,0,2,2,0,0.175,0.0,0.0
1005,engagement_baseline,210.0,30,0,8,5,2,0.0,0.0,0.0
1006,v0_threshold,-117.0,25,0,4,4,0,0.05,0.0,0.075
1006,v0_expected_cost,-148.0,24,0,3,3,0,0.0,0.0,0.05
1006,v1_voi,-125.0,23,0,3,3,0,0.075,0.0,0.0
1006,engagement_baseline,235.0,30,1,4,3,3,0.0,0.0,0.0
1007,v0_threshold,-129.0,21,0,2,2,0,0.075,0.0,0.15
1007,v0_expected_cost,-149.0,21,0,2,2,0,0.0,0.0,0.025
1007,v1_voi,-135.0,18,0,1,1,0,0.075,0.0,0.0
1007,engagement_baseline,530.0,33,2,7,3,3,0.0,0.0,0.0
1008,v0_threshold,-102.0,12,0,0,0,0,0.025,0.0,0.325
1008,v0_expected_cost,-119.0,12,0,0,0,0,0.0,0.0,0.025
1008,v1_voi,-90.0,10,0,0,0,0,0.05,0.0,0.0
1008,engagement_baseline,125.0,27,0,4,1,0,0.0,0.0,0.0
1009,v0_threshold,-127.0,18,0,1,1,0,0.075,0.0,0.2
1009,v0_expected_cost,-150.0,18,0,1,1,0,0.0,0.0,0.0
1009,v1_voi,-120.0,16,0,1,1,0,0.05,0.0,0.0
1009,engagement_baseline,270.0,26,1,4,3,3,0.0,0.0,0.0
1010,v0_threshold,-122.0,22,0,3,3,0,0.025,0.0,0.075
1010,v0_expected_cost,-129.0,22,0,3,3,0,0.0,0.0,0.025
1010,v1_voi,-110.0,19,0,2,2,0,0.1,0.0,0.0
1010,engagement_baseline,260.0,31,1,4,3,2,0.0,0.0,0.0
1011,v0_threshold,-74.0,24,0,5,5,0,0.05,0.0,0.15
1011,v0_expected_cost,-69.0,25,0,6,6,0,0.0,0.0,0.025
1011,v1_voi,-99.0,23,0,4,4,0,0.05,0.0,0.025
1011,engagement_baseline,230.0,28,1,6,4,2,0.0,0.0,0.0
