param,value,seed,policy,true_positive,false_positive,false_negative,true_negative,precision,recall,fp_safety_risk,fp_inauthentic,fp_sophisticated,fp_mismatch_only,human_review_rate,probe_rate,total_cost,mean_cost
p_A_false,0.1,2000,v0_threshold,18,1,1,20,0.9473684210526315,0.9473684210526315,1,0,0,0,0.1,0.075,43.0,1.075
p_A_false,0.1,2000,v0_expected_cost,17,0,2,21,1.0,0.8947368421052632,0,0,0,0,0.0,0.125,-165.0,-4.125
p_A_false,0.1,2000,engagement_baseline,14,16,5,5,0.4666666666666667,0.7368421052631579,2,1,0,13,0.0,0.0,525.0,13.125
p_A_false,0.1,2001,v0_threshold,23,1,2,14,0.9583333333333334,0.92,0,1,1,0,0.05,0.05,-198.0,-4.95
p_A_false,0.1,2001,v0_expected_cost,23,1,2,14,0.9583333333333334,0.92,0,1,1,0,0.0,0.075,-197.0,-4.925
p_A_false,0.1,2001,engagement_baseline,18,11,7,4,0.6206896551724138,0.72,0,1,1,10,0.0,0.0,60.0,1.5
p_A_false,0.1,2002,v0_threshold,17,0,0,23,1.0,1.0,0,0,0,0,0.1,0.075,-147.0,-3.675
p_A_false,0.1,2002,v0_expected_cost,16,0,1,23,1.0,0.9411764705882353,0,0,0,0,0.0,0.125,-155.0,-3.875
p_A_false,0.1,2002,engagement_baseline,16,15,1,8,0.5161290322580645,0.9411764705882353,3,1,0,12,0.0,0.0,630.0,15.75
p_A_false,0.1,2003,v0_threshold,23,1,0,16,0.9583333333333334,1.0,0,1,1,0,0.075,0.05,-193.0,-4.825
p_A_false,0.1,2003,v0_expected_cost,22,1,1,16,0.9565217391304348,0.9565217391304348,0,1,1,0,0.0,0.075,-197.0,-4.925
p_A_false,0.1,2003,engagement_baseline,19,11,4,6,0.6333333333333333,0.8260869565217391,2,0,0,9,0.0,0.0,385.0,9.625
p_A_false,0.1,2004,v0_threshold,18,0,0,22,1.0,1.0,0,0,0,0,0.05,0.15,-164.0,-4.1
